,Name,Link
0,Accounting for Mergers and Acquisitions: Foundations (University of Illinois at Urbana-Champaign),https://coursera.org/learn/accounting-for-ma-1
1,Add Gore to Your Game in Unity (Coursera Project Network),https://coursera.org/learn/add-gore-game-unity
2,Add Ragdoll Effect to a Character in Unity (Coursera Project Network),https://coursera.org/learn/ragdoll-effect-unity
3,Advanced Topics in Derivative Pricing (Columbia University),https://coursera.org/learn/financial-engineering-advancedtopics
4,Approve Social Media Posts with Zapier and Trello (Coursera Project Network),https://coursera.org/learn/approve-social-media-zapier-trello
5,Aprendizaje automático sin código: Azure ML Designer (Coursera Project Network),https://coursera.org/learn/aprendizaje-automatico-sin-codigo-azureml-designer
6,Assisting Public Sector Decision Makers With Policy Analysis (University of Michigan),https://coursera.org/learn/assist-public-sector-decision-makers-through-policy-analysis
7,Atención prehospitalaria del ictus agudo y selección de pacientes para tratamiento endovascular con la escala RACE (Universitat de Barcelona),https://coursera.org/learn/ictus-agudo-escala-race
8,Automate Blog Advertisements with Zapier (Coursera Project Network),https://coursera.org/learn/automate-blog-advertisements-zapier
9,Bases de Datos NoSQL en Azure (Coursera Project Network),https://coursera.org/learn/bases-datos-nosql-azure
10,Basic Descriptives using R Cmdr (Coursera Project Network),https://coursera.org/learn/basic-desc-r-cmdr
11,Build a social media presence for your business using Canva (Coursera Project Network),https://coursera.org/learn/build-a-social-media-presence-for-your-business-using-canva
12,Build social awareness content for Twitter with Canva (Coursera Project Network),https://coursera.org/learn/build-social-awareness-content-for-twitter-with-canva
13,"Build, Train, and Deploy ML Pipelines using BERT (DeepLearning.AI, Amazon Web Services)",https://coursera.org/learn/ml-pipelines-bert
14,Cluster Analysis using RCmdr (Coursera Project Network),https://coursera.org/learn/cluster-analysis-rcmdr
15,"Comercio, Inmigración y Tipos de Cambio en un Mundo Globalizado (IE Business School)",https://coursera.org/learn/comercio-inmigracion-tipos-de-cambio
16,Crea contenido de e-learning con Canva para tus estudiantes (Coursera Project Network),https://coursera.org/learn/crea-contenido-e-learning-canva-estudiantes
17,Create a Budget with Google Sheets (Coursera Project Network),https://coursera.org/learn/create-a-budget-with-google-sheets
18,Create attractive infographics with Piktochart (Coursera Project Network),https://coursera.org/learn/create-attractive-infographics-with-piktochart
19,Creating a Quiz Game using Vanilla JavaScript (Coursera Project Network),https://coursera.org/learn/creating-a-quiz-game-using-vanilla-javascript
20,Création D'Identité Visuelle En Utilisant Canva (Coursera Project Network),https://coursera.org/learn/creation-identite-visuelle-impressionnant-utilisant-canva
21,Créer des Publicités sur Instagram (Coursera Project Network),https://coursera.org/learn/creer-des-publicites-sur-instagram
22,Créer du contenu e-learning pour vos étudiants avec Canva (Coursera Project Network),https://coursera.org/learn/creer-contenu-e-learning-etudiants-canva
23,Curso Completo de Spark con Databricks (Big Data) (Coursera Project Network),https://coursera.org/learn/curso-completo-spark-databricks
24,Debugging support for the Node.js runtime in VScode (Coursera Project Network),https://coursera.org/learn/debugging-nodejs-vscode
25,Descubre diferentes formatos de anuncios en Facebook (Coursera Project Network),https://coursera.org/learn/descubre-diferentes-formatos-anuncios-facebook
26,Edita fotos para las redes sociales con Canva (Coursera Project Network),https://coursera.org/learn/edita-fotos-redes-sociales-canva
27,Enhance Organizational Communications with Slack (Coursera Project Network),https://coursera.org/learn/enhance-organizational-communications-with-slack
28,FPGA computing systems: Background knowledge and introductory materials (Politecnico di Milano),https://coursera.org/learn/fpga-intro
29,Microsoft Excel التنسيق المخصص والشرطي في (Coursera Project Network),https://coursera.org/learn/tanseq-el-mokhasas-w-el-sharty-fi-microsoft-excel
30,الجمع بين أجزاء متعددة من البيانات في سيكويل (Coursera Project Network),https://coursera.org/learn/aljamea-bayn-ajzaa-motaadida-min-albayanat-fi-sql
31,تحسين أداء العمل باستخدام نماذج غوغل (Coursera Project Network),https://coursera.org/learn/improve-business-performance-with-google-forms-ar
32,تحليل البيانات باستخدام Tableau (Coursera Project Network),https://coursera.org/learn/tahlil-albayanat-biastikhdam-tableau
33,كتابة موجز إبداعي لتحديد المشاريع الإبداعية على مايل شيمب (Coursera Project Network),https://coursera.org/learn/kitabat-mujaz-ibdaie-li-tahdid-almasharih-alibdaiya-ala-mail-chimp
34,للمبتدئين Metasploit: أساسيات الاستغلال (Coursera Project Network),https://coursera.org/learn/metasploit-lilmubtadiiyna-asasiaat-aliastighlal
35,Fundamentals of Business Problem Solving (Howard University),https://coursera.org/learn/fundamentals-of-business-problem-solving
36,Future Healthcare Payment Models (Northeastern University ),https://coursera.org/learn/healthcare-payment-models
37,Gestalte deinen Shop in Facebook Shops mit Canva (Coursera Project Network),https://coursera.org/learn/gestalte-shop-facebook-shops-canva
38,Get started with Facebook Audience Insights (Coursera Project Network),https://coursera.org/learn/get-started-facebook-audience-insights
39,"Get, Shape, Combine and Merge the datasets using Power BI (Coursera Project Network)",https://coursera.org/learn/get-shape-combine-and-merge-the-datasets-using-power-bi
40,HEALTHY URBAN SYSTEMS - PART 1 (University of Lausanne),https://coursera.org/learn/urban-health-mooc-1
41,How to create Social Media graphics in Canva (Coursera Project Network),https://coursera.org/learn/how-to-create-social-media-graphics-in-canva
42,How to create an API request using Postman (Coursera Project Network),https://coursera.org/learn/rapid-api-postman
43,How to edit and improve a Facebook Ad (Coursera Project Network),https://coursera.org/learn/how-edit-improve-facebook-ad
44,IT Security: Defense against the digital dark arts (Google),https://coursera.org/learn/it-security
45,Improving Immunity Based on Traditional Eastern Exercises (Shanghai Jiao Tong University),https://coursera.org/learn/sjtuyoga
46,Impulsando la transformación del marketing digital (Tecnológico de Monterrey),https://coursera.org/learn/impulsando-la-transformacin-del-marketing-digital
47,Incrementar - Parte 2 y Controlar (Tecnológico de Monterrey),https://coursera.org/learn/incrementar---parte-2-y-controlar
48,Innovation and International Strategy (Illinois Tech),https://coursera.org/learn/illinois-tech-innovation-and-international-strategy
49,Intel® Network Academy - Network Transformation 101 (Intel),https://coursera.org/learn/network-transformation-101
50,Introducción a Facebook Audience Insights (Coursera Project Network),https://coursera.org/learn/introduccin-facebook-audience-insights
51,Introduction to Academic Writing (O.P. Jindal Global University),https://coursera.org/learn/introduction-to-academic-writing
52,JavaScript While Loop (Coursera Project Network),https://coursera.org/learn/javascript-while-loop
53,Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life (The University of Edinburgh),https://coursera.org/learn/know-thyself-the-examined-life
54,Kotlin للمبتدئيين : أنواع البيانات والجمل الشرطية (Coursera Project Network),https://coursera.org/learn/kotlin-lilmubtadiiyn-anwae-albayanat-waljumal-alshurtia
55,L'utilisation optimal de LinkedIn (Coursera Project Network),https://coursera.org/learn/utilisation-optimal-linkedin
56,Les bits et les octets des réseaux informatiques (Google),https://coursera.org/learn/les-bits-et-les-octets-des-reseaux-informatiques
57,Libraries and Frameworks for Frontend Development (Board Infinity ),https://coursera.org/learn/libraries-and-frameworks-for-frontend-development
58,Linux تكنولوجيا المعلومات مع (Coursera Project Network),https://coursera.org/learn/linux-tiknulujya-almaelumat-mae
59,MYSQL Workbench إنشاء و تصميم قواعد البيانات باستخدام (Coursera Project Network),https://coursera.org/learn/database-creation-and-modeling-using-mysqlworkbench
60,Machine Learning Interpretable: interpretML y LIME (Coursera Project Network),https://coursera.org/learn/machine-learning-interpretable-lime
61,Mandarin Chinese for Intermediate Learners: Part 1 (Shanghai Jiao Tong University),https://coursera.org/learn/mandarin-chinese-intermediate-learners-1
62,Manejo del enfermo semicrítico y crítico por COVID-19 (Universitat de Barcelona),https://coursera.org/learn/covid-19-esp
63,Market your new business with Canva (Coursera Project Network),https://coursera.org/learn/market-new-business-canva
64,Microsoft Excel  حسابات البيانات في (Coursera Project Network),https://coursera.org/learn/data-calculations--microsoft-excel
65,Microsoft Excel إنشاء جدول اجتماع باستخدام (Coursera Project Network),https://coursera.org/learn/microsoft-excel-iinsha-jadwal-ajtimae-biastikhdam
66,Microsoft Excel مقدمة إلى تحليل البيانات باستخدام (Coursera Project Network),https://coursera.org/learn/microsoft-excel-mqdm-l-thlyl-lbynt-bstkhdm
67,Modelling with WARP PLS (Coursera Project Network),https://coursera.org/learn/warp-pls
68,"Natural Language Processing and Capstone Assignment (University of California, Irvine)",https://coursera.org/learn/natural-language-processing-captsone-assignment
69,Non parametric Tests using R Cmdr (Coursera Project Network),https://coursera.org/learn/non-parametric-tests-rcmdr
70,Optimiza las comunicaciones organizacionales con Slack (Coursera Project Network),https://coursera.org/learn/optimiza-las-comunicaciones-organizacionales-con-slack
71,Optimization Methods in Asset Management (Columbia University),https://coursera.org/learn/financial-engineering-optimizationmethods
72,Parameterized and Dynamic Testing in JUnit (LearnQuest),https://coursera.org/learn/dynamic-j-unit-testing
73,Physics 102  - Magnetic Fields and Faraday's Law (Rice University),https://coursera.org/learn/physics-102-magnetic-fields-faradays-law
74,Plane und erstelle einen Aufgabenkalender in Trello (Coursera Project Network),https://coursera.org/learn/plane-und-erstelle-einen-aufgabenkalender-in-trello
75,Power BI  الحصول على البيانات وشكلها ودمجها باستخدام (Coursera Project Network),https://coursera.org/learn/manipulate-data-using-power-bi-desktop
76,Power BI لوحة بيانات مبيعات باستخدام برنامج (Coursera Project Network),https://coursera.org/learn/power-bi-iawhat-bayanat-mabieat-biaistikhdam-barnamaj
77,Power BI وتقارير باستخدام Visualizations   إنشاء (Coursera Project Network),https://coursera.org/learn/creating-visualizations-and-reports-using-power-bi
78,Predictive Analytics for Business with H2O in R (Coursera Project Network),https://coursera.org/learn/predictive-analytics-business-h2o-r
79,Prehospital care of acute stroke and patient selection for endovascular treatment using the RACE scale (Universitat de Barcelona),https://coursera.org/learn/acute-stroke-race-scale
80,Programmez du contenu pour vos réseaux sociaux avec Later (Coursera Project Network),https://coursera.org/learn/programmez-contenu-reseaux-sociaux-later
81,Project Management among Multiple Organizations with Trello (Coursera Project Network),https://coursera.org/learn/project-management-multiple-organizations-trello
82,Python for Beginners: Data Structures (Coursera Project Network),https://coursera.org/learn/python-for-beginners-data-structures
83,Python بُنى بيانات (University of Michigan),https://coursera.org/learn/python-data-ar
84,RStudio for Six Sigma - Control Charts (Coursera Project Network),https://coursera.org/learn/rstudio-six-sigma-control-charts
85,RStudio for Six Sigma - Process Capability (Coursera Project Network),https://coursera.org/learn/rstudio-six-sigma-process-capability
86,React Native (Meta),https://coursera.org/learn/react-native-course-ar
87,Solving Business Problems with Spreadsheet Modeling (Howard University),https://coursera.org/learn/solving-business-problems-with-spreadsheet-modeling
88,Storytelling With Data (Coursera Project Network),https://coursera.org/learn/storytelling-with-data
89,Storytelling in Branding and Content Marketing (IE Business School),https://coursera.org/learn/brand-and-content-marketing
90,Strategically Build and Engage Your Network on LinkedIn (Coursera Project Network),https://coursera.org/learn/strategically-build-and-engage-your-network-on-linkedin
91,Supervised Machine Learning: Classification (IBM),https://coursera.org/learn/supervised-machine-learning-classification
92,System Administration and IT Infrastructure Services (Google),https://coursera.org/learn/system-administration-it-infrastructure-services
93,"The Great Sustainability Transition: Global challenges, Local actions (Universiteit Leiden)",https://coursera.org/learn/sustainability-global-challenges-and-local-actions
94,"Tobacco Control: Agile Policy, Research and Practice (Imperial College London)",https://coursera.org/learn/tobacco-control-agile-policy-research-practice
95,Understanding the average Facebook User (Coursera Project Network),https://coursera.org/learn/understanding-the-average-facebook-user
96,Unsupervised Machine Learning (IBM),https://coursera.org/learn/ibm-unsupervised-machine-learning
97,Use Canva to Create Desktop and Mobile-friendly Web Pages. (Coursera Project Network),https://coursera.org/learn/use-canva-to-create-desktop-and-mobile-friendly-webpages
98,Using Animations and Transitions in Libre Impress (Coursera Project Network),https://coursera.org/learn/using-animations-and-transitions-in-libre-impress
99,"Using Design to Generate Innovative Business Solutions (Parsons School of Design, The New School)",https://coursera.org/learn/using-design-to-generate-innovative-business-solutions
100,Using ggplot (Coursera Project Network),https://coursera.org/learn/using-ggplot
101,VM Migration: Introduction to StratoZone Assessments (Google Cloud),https://coursera.org/learn/googlecloud-vm-migration-introduction-to-stratozone-assessments-jxthj
102,Visualización Avanzada de datos con Python (Coursera Project Network),https://coursera.org/learn/visualizacion-avanzada-datos-python
103,أساسيات الموازنة التخطيطية الفعالة (Alfaisal University | KLD),https://coursera.org/learn/essentials-of-effective-budgeting
104,أساسيات برنامج مايكروسوفت اكسيل | Essentials of MS Excel (Alfaisal University | KLD),https://coursera.org/learn/essentials-of-ms-excel
105,إجراء بحث تجربة المستخدم واختبار المفاهيم المبكرة (Google),https://coursera.org/learn/conduct-ux-research-and-test-early-concepts-arabic
106,إدخال البيانات في مايكروسوفت إكسل (Alfaisal University | KLD),https://coursera.org/learn/data-entry-in-microsoft-excel
107,إستخدام Miro في تطويرwireframes و إستكشاف الأفكار الجديدة (Coursera Project Network),https://coursera.org/learn/iistikhdam-miro-fi-tatwir-wireframes-wastikshaf-al-afkar-aljadida
108,إنشاء حقيبة الهدايا لتسويق أعمالك باستخدام كانفا (Coursera Project Network),https://coursera.org/learn/create-swag-bag-inserts-to-market-your-business-using-canva-ar
109,إنشاء واجهة المستخدم في Android Studio (Meta),https://coursera.org/learn/create-the-user-interface-android-studio-ar
110,البدء في استخدام  Microsoft Forms (Coursera Project Network),https://coursera.org/learn/badaa-fi-estekhdam-microsoft-forms
111,البرمجة اللغوية العصبية | NLP (Alfaisal University | KLD),https://coursera.org/learn/nlp-
112,التسويق للشركات  والمشاريع الصغيرة عبر موقع يوتيوب (Coursera Project Network),https://coursera.org/learn/youtube-for-small-businesses-ar
113,التعامل مع البيانات في Android (Meta),https://coursera.org/learn/working-with-data-in-android-ar
114,التنسيق في مايكروسوفت إكسل | Formatting in MS Excel (Alfaisal University | KLD),https://coursera.org/learn/formatting-in-ms-excel
115,التوازن بين القدرات والتوقعات في بناء الذات (Alfaisal University | KLD),https://coursera.org/learn/balancing-expectations-and-abilities-in-self-development
116,المالية لغير الخبراء الماليين (Alfaisal University | KLD),https://coursera.org/learn/finance-for-the-non-finance-professionals
117,المبيعات الواردة (HubSpot Academy),https://coursera.org/learn/inbound-sales-ar
118,المشروع المتقدم لتطبيقات iOS (Meta),https://coursera.org/learn/ios-app-capstone-ar
119,المهارات الأساسية لمديري اليوم (Alfaisal University | KLD),https://coursera.org/learn/essential-skillsets-for-todays-managers
120,بالتطبيق العملي C# تعلم أساسيات لغة (Coursera Project Network),https://coursera.org/learn/almuqadima-c-sharp
121,بناء Backend لنسخة من Twitter (Coursera Project Network),https://coursera.org/learn/twitter-clone-backend-arabic
122,بوستغرسيكويل مع تكنولوجيا المعلومات (Coursera Project Network),https://coursera.org/learn/postgresql-maa-technologia-almaalumat
123,تحليل المبيعات في Power BI: تنظيف وتصور بيانات المبيعات (Coursera Project Network),https://coursera.org/learn/tahlil-albayanat-biistikhdam-power-bi-maealijih-warasm-bayanat-almabieat
124,تحميل وتثبيت ملحقات لغة جافا في برنامج فيجيوال ستوديو كود (Coursera Project Network),https://coursera.org/learn/tahmil-wa-tathbit-molhakat-java-fi-visual-studio-code
125,تصميم قاعدة البيانات باستخدام SQL Server Management Studio (Coursera Project Network),https://coursera.org/learn/database-design-using-sql-server-management-studio
126,تصميم مجموعة ترحيب العميل باستخدام كانفا (Coursera Project Network),https://coursera.org/learn/design-a-client-welcome-kit-using-canva-ar
127,تصميم ويب سريع الاستجابة في Adobe XD (Google),https://coursera.org/learn/responsive-web-design-in-adobe-xd-arabic
128,تعلم C عن طريق عمل Array-based Stack (Coursera Project Network),https://coursera.org/learn/implement-array-based-stack-in-c-ar
129,تكلفة رأس المال: تقييم السندات والأسهم | Cost of Capital (Alfaisal University | KLD),https://coursera.org/learn/cost-of-capital
130,تنظيف متغيرات السلسلة باستخدام لغة الاستعلام البنيوية (Coursera Project Network),https://coursera.org/learn/tanzif-mutaghayirat-alsilsilat-biastikhdam-sql
131,رسم البيانات في Power BI: قم بإنشاء أول Dashboard (Coursera Project Network),https://coursera.org/learn/rasm-albayanat-fi-power-bi-qum-biiinsha-awal-dashboard
132,رسوم متحركه ثنائية الأبعاد في Unity باستخدام Sprite Sheets (Coursera Project Network),https://coursera.org/learn/unity-sprite-sheets
